Legislator,Party,"Vote on Energy Independence and Security Act of 2007 On Passage - Senate - H.R. 6, As Amended, 06/22/2007",Contribution Amount,Contributor Employer,Contributor Interest Group,Interest Group Position on Energy Independence and Security Act of 2007
Sherrod Brown,Democrat,Yes,$500,Hillside Farms,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$500,Gary Roberts/Farmworker,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$250,,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$500,,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$250,Ohio Farmers Union,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$1000,Gary Roberts/Farmworker,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$250,,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$1000,Hillside Farms,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$220,Hillside Farms,Crop production & basic processing,Support
Sherrod Brown,Democrat,Yes,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Murphy Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,Murphy Family Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Tot Hill Farm,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,JB Rose & Sons,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Thunder Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,3B Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Tot Hill Farm,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Kermit Williamson Farm,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$4000,,Crop production & basic processing,Support
Richard Burr,Republican,No,-$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,-$2000,Harrington Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$4000,Harrington Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Sarem Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Thunder Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,JB Rose & Sons,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,JB Rose & Sons,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,-$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
